Landslide_date,latitude,longitude,precip_1d,precip_3d,precip_7d,is_rainfall_induced
2007-03-19,33.8778,74.3333,80.26315307617188,80.26315307617188,159.31033325195312,1
2011-05-04,44.9378,-73.0562,55.10624313354492,55.10624313354492,118.58418273925781,1
2011-06-29,30.7666,78.7963,0.0,0.0,189.27757263183594,1
2011-07-03,27.7394,83.5754,190.18740844726562,333.5181884765625,381.29510498046875,1
2013-07-21,10.335,123.8725,24.313690185546875,43.61835861206055,74.84820556640625,1
2011-07-03,28.3683,83.2934,73.71002960205078,239.43609619140625,239.43609619140625,1
2011-07-03,28.0889,83.2934,167.60972595214844,394.576171875,394.576171875,1
2017-06-02,16.09880042,-96.22255907,174.4163055419922,241.59585571289062,295.3394775390625,1
2011-07-09,30.7652,78.5925,0.0,0.0,0.0,1
2011-07-09,30.7331,79.0685,0.0,0.0,0.0,1
